;location_id;city;culture_text
0;274010846;London;"['Buckingham Palace', ""London Eye"", 'Marble Arch', 'Piccadilly Circus', 'St Paul's Cathedral', 'Tower Bridge', ""Tower of London"", 'Trafalgar Square', 'Westminster Abbey and the Palace of Westminster, including the Elizabeth Tower (Big Ben)’, 'The Gherkin', 'The Shard', 'British Museum', ""National Gallery"", 'Tate Modern', 'Hyde Park and adjoining Kensington Gardens', 'Regent's Park', 'St James's Park']"
1;372110415;Belfast;"['City Hall', ""Saint Anne's Cathedral"", 'Belfast Exposed', 'Belfast Central Library', 'The Legal Quarter', 'Lagan Weir and footbridge', ""Queen's University"", 'Botanic Gardens', 'Ulster Museum', 'Royal Ulster Rifles Regimental Museum', 'Malone House', 'Sir Thomas and Lady Dixon Park', ""Giant's Ring"", 'Lisnabreeny', 'Crumlin Road Gaol', 'Peace Wall', 'Irish Republican History Museum', 'Cultúrlann McAdam Ó Fiaich', 'Divis', 'City Cemetery', 'Milltown Cemetery', 'Samson and Goliath', 'Titanic Belfast', 'SS Nomadic', 'HMS Caroline', ""Titanic's Dock and Pump House"", 'W5', 'Short Strand', 'Belmont Tower', 'Stormont Parliament Buildings', 'Museum of Orange Heritage', 'Comber Greenway', 'Cave Hill', 'Belfast Castle', 'Belfast Zoo']"
2;273206003;Birmingham;"['Aston Hall', 'Barber Institute of Fine Arts', 'IKON Gallery', 'Lapworth Museum of Geology', 'Sarehole Mill', 'Royal Birmingham Society of Artists', 'Soho House', 'Thinktank, Birmingham Science Museum', 'Museum of the Jewellery Quarter', 'Birmingham Back to Backs', 'The Coffin Works', 'Blakesley Hall', 'Jaguar Castle Bromwich Assembly', 'Cadbury World', ""St Philip's Cathedral"", 'Birmingham Peace Pagoda', ""St Chad's Cathedral"", 'St Martin in the Bull Ring', ""St. Paul's Church"", ""St. Thomas' Church and Peace Gardens"", 'BT Tower', 'Library of Birmingham', 'Bell Edison Telephone Building', 'The Old Crown', 'Curzon Street station', 'Rotunda', 'Hall of Memory', 'Town Hall', 'Council House', 'Singers Hill Synagogue', 'Birmingham School of Art', 'Victoria Law Courts', 'Methodist Central Hall', ""Hudson's Coffee House"", 'Red Palace', 'Birmingham Botanical Gardens &amp; Glasshouses', 'Birmingham Nature Centre', 'Cannon Hill Park', ""Moseley Bog &amp; Joy's Wood Nature Reserve"", 'Cannon Hill Park', 'National Sea Life Centre', 'RSPB Sandwell Valley', 'Sutton Park', 'Winterbourne House and Garden', 'Woodgate Valley Country Park', 'Eastside City Park']"
3;275277495;Bristol;"['Street Art', 'Bristol Blue Glass', 'Whitchurch Airport', 'Aerospace Bristol', 'Cheese Lane Shot Tower', ""Brunel's SS Great Britain"", 'We The Curious', 'Bristol Aquarium', 'M Shed Museum', 'Arnolfini Gallery', ""Pero's Bridge"", 'The Matthew', 'Corn Exchange &amp; The Nails', 'St. Nicholas Market', 'Castle Park &amp; St Peters Church', 'King Street', 'The Llandoger Trow', 'Bristol Museum and Art Gallery', 'The Georgian House', 'Red Lodge', 'Clifton Suspension Bridge', 'Clifton Downs and Observatory', 'Clifton Lido', 'St Pauls', 'St Werburghs', 'St Mary Redcliffe Church', 'Bristol Cathedral (Church of EnglandAnglican)', 'Clifton Cathedral (Roman Catholic)', 'Clifton and Durdham Downs', 'Brandon Hill &amp; The Cabot Tower', 'Cabot Tower', 'Ashton Court Estate', 'Leigh Woods', 'Blaise Castle Estate', 'Oldbury Court', 'Queen Square', 'Quakers Burial Ground', 'Tyntesfield']"
4;275512916;Cardiff;['Cardiff Castle', 'The Millennium Stadium', 'The Wales Millennium Centre', 'The Welsh Parliament or Senedd Cymru', 'The Norwegian Church', 'Llandaff Cathedral', 'Castell Coch', 'City Hall', 'Cathays Park', 'Bute Park', 'Pierhead building', 'Caerau Castle Ringwork', 'St Fagans National History Museum', 'National Museum Cardiff', 'Techniquest', 'The Cardiff Story']
5;269262206;City of Edinburgh;"['Edinburgh Castle', 'Camera Obscura', ""Gladstone's Land"", ""Writers' Museum"", 'St Giles', ""Mary King's Close"", 'Tron Kirk', 'North Bridge', 'Museum of Childhood', ""The Peoples' Story Museum"", 'Canongate Kirk', 'Museum of Edinburgh', ""Dunbar's Close Garden"", 'Scottish Parliament', 'Dynamic Earth', 'Holyrood Palace', 'Grassmarket', 'George IV Bridge', 'National Library of Scotland', 'Central Library', 'Greyfriars Bobby', 'Greyfriars Kirk', 'National Museum of Scotland', 'Anatomical Museum', 'George Square', ""St Cecilia's Hall"", 'Talbot Rice Gallery', 'Dovecot Studios', ""Surgeons' Hall Museums"", 'Edinburgh Central Mosque', 'City Art Centre', 'Fruitmarket', 'Stills', 'Museum on the Mound', ""Arthur's Seat"", 'Salisbury Crags', ""St Anthony's Chapel"", 'Duddingston']"
6;269857672;Glasgow;"['Glasgow Cathedral', ""St Mungo's Museum of Religious Life and Art"", ""Provand's Lordship"", 'Glasgow Necropolis', ""St Mungo's Museum of Religious Life and Art"", ""Provand's Lordship"", 'George Square', 'City Chambers', 'Gallery of Modern Art', 'Glasgow Cross', 'Glasgow Police Museum', 'Sharmanka', 'Street Level Photoworks', 'Transmission Gallery', 'St Enoch Subway Station', 'St Andrews in the Square', 'Glasgow Green', ""People's Palace"", 'The Lighthouse', 'Willow Tea Rooms', 'Glasgow School of Art', 'Centre for Contemporary Arts', 'Tenement House', 'The Museum of Piping', 'Mitchell Library', 'Park Circus', 'Kelvingrove Park', 'Kelvingrove Art Gallery and Museum', 'Kelvin Hall', 'Glasgow University', 'Hunterian Art Gallery', 'Hunterian Museum', 'Hunterian Zoology Museum', 'Botanic Gardens', 'Fossil Grove', 'Hunterian Art Gallery', 'Hunterian Museum', 'Hunterian Zoology Museum', ""St Andrew's Suspension Bridge"", 'Tradeston Bridge', 'Kingston Bridge', 'Clyde Arc', 'Scotland Street School', 'Glasgow Science Centre', 'Riverside Museum', 'Tall Ship', 'Govan Stones', 'Fairfield Heritage Centre', 'House for an Art Lover', 'Bellahouston Park', ""Queen's Cross Church"", 'Forth and Clyde Canal', 'Burrell Collection', ""Queen's Park"", 'Holmwood House', 'Linn Park', 'Crookston Castle', 'Titan Crane', 'Greenbank Garden']"
7;271544355;Liverpool;"['Museum of Liverpool', 'Royal Liver Building', 'The Beatles Story', 'Canada Boulevard', 'British Music Experience', 'Open Eye Gallery', 'Merseyside Maritime Museum', 'Wheel of Liverpool', ""St George's Hall"", 'World Museum Liverpool', 'Liverpool Central Library', 'Walker Art Gallery', 'Liverpool Town Hall', 'Victoria Gallery &amp; Museum', ""Williamson's Tunnels"", 'The Bluecoat', 'FACT', 'Our Lady and St Nicholas church', 'Metropolitan Cathedral of Christ the King', 'Liverpool Cathedral', 'Princes Road Synagogue', 'Greek Orthodox Church of St Nicholas', 'St Brides', 'St Philip Neri Church', 'The Nordic Church', ""St Luke's Church"", 'Speke Hall', 'Croxteth Hall and Country Park', 'Sefton Park Palm House', 'Sudley House', 'Wavertree Botanic Gardens', 'Liverpool Cycle Tours', 'Shiverpool', 'The Beatles Fab 4 Taxi Tours', 'Mad Day Out']"
8;4278528;Washington;['The White House', 'Capitol Building’,'National Gallery of Art', 'National Museum of Natural History', 'National Museum of American History', 'National Museum of African American History and Culture', 'National Museum of the American Indian', 'National Air and Space Museum', 'Hirshhorn Museum & Sculpture Garden', 'Arts and Industries Building', 'Smithsonian Castle', 'National Museum of African Art', 'Freer Gallery of Art and Arthur M. Sackler Gallery', 'Washington Monument', 'National World War II Memorial', 'Reflecting Pool', 'Declaration of Independence Memorial', 'District of Columbia War Memorial', 'Vietnam Veterans Memorial', 'Korean War Veterans Memorial', 'Lincoln Memorial', 'Bureau of Engraving and Printing', 'Franklin Delano Roosevelt Memorial', 'George Mason Memorial', 'Jefferson Memorial', 'Martin Luther King, Jr. Memorial', 'United States Holocaust Memorial Museum', 'Japanese Lantern']
9;17751024;Boston;"['Boston City Hall', 'New England Aquarium', 'Old City Hall', 'Faneuil Hall', ""King's Chapel"", 'Old South Meeting House', 'Old State House', 'Boston Stone', 'Chinatown Gate', 'Governor’s Alley', 'Irish Famine Memorial', 'Liberty Tree Site', 'New England Holocaust Memorial', 'Spring Lane', 'Christopher Columbus Waterfront Park', ""King's Chapel Burying Ground"", 'Post Office Square', 'Rose Fitzgerald Kennedy Greenway', 'Walk to the Sea']"
10;26249932;Chicago;"['Art Institute of Chicago', 'Federal Reserve Bank Money Museum', 'Museum of Contemporary Photography', 'Pritzker Military Museum &amp; Library', 'Spertus Institute', 'Chicago Architecture Center', 'Grant Park', 'Millennium Park', 'Vietnam Veterans Memorial', 'Maggie Daley Park', 'Chicago Cultural Center', 'Chicago Mercantile Exchange Visitors Center', 'The Skydeck', 'Chicago Architecture Foundation', 'Carbide and Carbon Building', 'Federal Center', 'The Fine Arts Building', 'The Gage Group', 'The Haskell Building', ""The Jewelers' Building"", 'Marquette Building', 'Monadnock Building', 'The Reliance Building', 'The Rookery', '311 S Wacker Dr', 'Aon Center', 'Aqua', 'AT&amp;T Corporate Center', 'Chase Tower', 'Daley Center', 'Metropolitan Correctional Center', 'Crain Communications Building']"
11;369253421;Los Angeles;"['Hollywood', ""Studio City"", 'Downtown', 'El Pueblo de Los Angeles Historical Monument', 'City Hall', 'Griffith Observatory', ""Beverly Hills"", 'Getty Center', 'Griffith Park’, 'Mulholland Drive', 'Malibu', 'Venice Beach']"
12;295808510;Miami;"['Bayfront Park', 'Miami Circle', 'Brickell Key', 'Jungle Island', 'Miami Seaquarium', ""Miami Children's Museum"", 'Gesu Church', 'Trinity Episcopal Cathedral']"
13;294029191;New Orleans;"['Bourbon Street', 'Royal Street', 'Jackson Square', 'Cabildo', 'Presbytere', 'St. Louis Cathedral', 'Pontalba Buildings', 'Moon Walk', 'Chartres Street', 'Old French Market', 'Lower Decatur Street', ""New Orleans Jazz Park Visitor's Center &amp; Headquarters"", 'Jean Lafitte National Park and Preserve', 'Historic New Orleans Collection', 'Old U.S. Mint', 'Old Ursuline Convent', 'Pharmacy Museum', 'Cigar Factory New Orleans &amp; Museum', 'Musee Conti Wax Museum', 'Cabildo', 'Presbytere', 'St. Louis Cathedral', 'Pontalba Buildings', 'Beauregard-Keyes House', 'Hermann-Grima House', 'Gallier House', ""Madame John's Legacy"", 'Williams Residence']"
14;371470565;New York;"['Empire State Building', ""One World Trade Center and Memorial"", 'Wall Street', 'New York Stock Exchange', 'Brooklyn Bridge', 'Statue of Liberty', ""Ellis Island"", 'Chrysler Building', 'Grand Central Terminal’, 'New York Public Library', 'Rockefeller Center', 'United Nations Headquarters', ""Times Square"", 'Metropolitan Museum of Art', 'Guggenheim Museum', 'Museum of Modern Art (MoMA)', 'Central Park']"
15;312239722;San Francisco;['San Francisco CityPASS', 'Go San Francisco Card']
16;48598690;Montevideo;['Plaza Independencia', 'Palacio Salvo', 'Mausoleo de Artigas', 'Palacio Estévez', 'Torre Ejecutiva', 'Edificio Ciudadela', 'Puerta de la Ciudadela', 'Museo del Tango de Montevideo', 'Mercado del Puerto', 'Catedral Metropolitana', 'Old Sepharadi Synagogue', 'Teatro Solís', 'The sexual diversity monument', 'Aduana building', 'Cathedral of The Most Holy Trinity', 'Palacio Taranco', 'National History Museum', 'MAPI', 'Museo Torres Garcia', 'Museo del Carnaval', 'El Cabildo', 'Casa de Lavalleja', 'Casa de Fructuoso Rivera', 'The obelisk of Montevideo', 'Fuente de los Candados', 'Palacio Municipal', 'Museo del Fútbol', 'Museo de Historia del Arte', 'Museo del Gaucho y de la Moneda', 'Tile Museum', 'Castillo Pittamiglio', 'World Trade Center', 'Holocaust memorial', 'Punta Carretas lighthouse', 'MNAV', 'Museo Casa Vilamajó', 'Museum of Zoology', 'Central Cemetery', 'Parque Rodó', 'Pocitos Beach', 'Carrasco', 'Palacio Legislativo', 'Fortaleza General Artigas', 'Torre de las Telecomunicaciones', 'Castillo Soneira', 'Hipodromo Nacional de Maroñas', 'Museo Blanes', 'El Prado', 'Parque Lecocq']
17;46476020;Punta Del Este;['Casa Pueblo', 'Museo del Mar', 'Museo Ralli', 'Maam', 'Isla de Lobos', 'port', 'Whale watching']
18;48353406;Colonia del Sacramento;['The lighthouse', 'The old bullfighting ring', 'The house of the Viceroy', 'Portón de Campo', 'Calle de los Suspiros', 'Paseo de San Gabriel', 'Plaza 25 de Mayo', 'Plaza de Armas', 'Basilica del Santísimo Sacramento', 'The ruins of the San Francisco convent', 'Portuguese Museum', 'Casa Nacarello', 'Regional Historical Archive', 'Tile Museum', 'Indigenous Museum', 'Spanish Museum', 'Armando Calcaterra Paleontological Museum', 'Naval Museum', 'Dock', 'The quarries', 'Cantera el Calabrés', 'Cantera de Ferrando', 'Cantera de Riachuelo', 'Cantera el Calabrés', 'Cantera de Ferrando', 'Cantera de Riachuelo', 'Granja Arenas', 'Museo de las Colecciones', 'Restaurant and store']
19;46592425;Piriápolis;['Catedral De Piria']
20;39632863;Rivera;['Plaza Internacional', 'Plaza Artigas', 'Parque Gran Bretaña', 'Parroquia de la Inmaculada Concepción', 'Estadio Atilio Paiva Olivera', 'Autódromo Eduardo P. Cabrera', 'Valle del Lunarejo', 'Cerro Marconi']
21;46689921;La Paloma;['Beach']
22;211707013;Khiva;"['Kutli Murad Inak Medressa', ""Khan Anush Mohammed's Bath"", 'Uc Avlija Mausoleum', 'Tash Chauli', 'Khan Allakuli Medressah', 'Tim', 'City walls', 'City Gates', 'Kuhna Ark', 'Mohammed Rakhim Khan Medrassah and Square', 'Kalta Minor', 'Juma Mosque', 'Pahlawan Mahmud Mausoleum', 'Islam Khoja Minaret', 'Shirgiz Khan Medressa', 'Medressa Muhammed Amin Khan', 'Ak Mosque', 'Bogbonli Mosque', 'Seid Allaudin Mausoleum']"
23;221769659;Namangan City;['Mullo Kyrgyz Madrasseh', 'Mosque of Ota Valikhan Tur', 'Namangan Natural History Museum', 'Hadja Amin Kabri Architectural Complex', 'Akhsykent ruins']
24;211799952;Nukus;['Karakalpak Museum of Arts', 'Amet and Ayimkhan Shamuratovs House Museum']
