,country_name,warning
0, Afghanistan,The German foreign office has issued a travel warning for Afghanistan. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/afghanistansicherheit/204692.
1, Ägypten,The German foreign office has issued a partial travel warning for Egypt. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/aegyptensicherheit/212622.
2, Algerien,The German foreign office has issued a partial travel warning for Algeria. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/algeriensicherheit/219044.
3, Armenien,The German foreign office has issued a partial travel warning for Armenia. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/armeniensicherheit/201872.
4, Aserbaidschan,The German foreign office has issued a partial travel warning for Azerbaijan. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/aserbaidschansicherheit/201888.
5, Äthiopien,The German foreign office has issued a partial travel warning for Ethiopia. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/aethiopiensicherheit/209504.
6, Belarus,The German foreign office has issued a travel warning for Belarus. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/belarussicherheit/201904.
7, Burkina Faso,The German foreign office has issued a partial travel warning for Burkina Faso. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/burkinafasosicherheit/212336.
8, Côte d'Ivoire,The German foreign office has issued a partial travel warning for Ivory Coast. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/cotedivoiresicherheit/209460.
9, Demokratische Republik Kongo,The German foreign office has issued a partial travel warning for Democratic Republic of Congo. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/kongodemokratischerepubliksicherheit/203202.
10, Eritrea,The German foreign office has issued a partial travel warning for Eritrea. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/eritreasicherheit/226176.
11, Haiti,The German foreign office has issued a travel warning for Haiti. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/haitisicherheit/205048.
12, Irak,The German foreign office has issued a partial travel warning for Irak. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/iraksicherheit/202738.
13, Iran,The German foreign office has issued a travel warning for Iran. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/iransicherheit/202396.
14, Israel,The German foreign office has issued a travel warning for Israel. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/israelsicherheit/203814.
15, Japan,The German foreign office has issued a partial travel warning for Japan. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/japansicherheit/213032.
16, Jemen,The German foreign office has issued a travel warning for Yemen. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/jemensicherheit/202260.
17, Kamerun,The German foreign office has issued a partial travel warning for Cameroon. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/kamerunsicherheit/208874.
18, Libanon,The German foreign office has issued a travel warning for Lebanon. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/libanonsicherheit/204048.
19, Libyen,The German foreign office has issued a travel warning for Libya. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/libyensicherheit/219624.
20, Mali,The German foreign office has issued a partial travel warning for Mali. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/malisicherheit/208258.
21, Mauretanien,The German foreign office has issued a partial travel warning for Mauritania. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/mauretaniensicherheit/219190.
22, Mosambik,The German foreign office has issued a partial travel warning for Mozambique. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/mosambiksicherheit/221782.
23, Myanmar,The German foreign office has issued a travel warning for Myanmar. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/myanmarsicherheit/212100.
24, Nigeria,The German foreign office has issued a partial travel warning for Nigeria. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/nigeriasicherheit/205788.
25, Niger,The German foreign office has issued a travel warning for Niger. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/nigersicherheit/226384.
26, Pakistan,The German foreign office has issued a partial travel warning for Pakistan. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/pakistansicherheit/204974.
27, Palästinensische Gebiete,The German foreign office has issued a travel warning for Palestinian territories. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/palaestinensischegebietesicherheit/203674.
28, Philippinen,The German foreign office has issued a partial travel warning for Philippines. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/philippinensicherheit/212492.
29, Russische Föderation,The German foreign office has issued a partial travel warning for Russian Federation. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/russischefoederationsicherheit/201536.
30, Somalia,The German foreign office has issued a travel warning for Somalia. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/somaliasicherheit/203132.
31, Sudan,The German foreign office has issued a travel warning for Sudan. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/sudansicherheit/203266.
32, Südsudan,The German foreign office has issued a travel warning for South Sudan. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/suedsudansicherheit/244250.
33, Syrien,The German foreign office has issued a travel warning for Syria. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/syriensicherheit/204278.
34, Tschad,The German foreign office has issued a partial travel warning for Chad. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/tschadsicherheit/225774.
35, Ukraine,The German foreign office has issued a travel warning for Ukraine. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/ukrainesicherheit/201946.
36, Venezuela,The German foreign office has issued a partial travel warning for Venezuela. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/venezuelasicherheit/224982.
37, Zentralafrikanische Republik,The German foreign office has issued a travel warning for Central African Republic. Additional information available at https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/zentralafrikanischerepubliksicherheit/226450.
