<http://codes.wmo.int/def/bufr4/fxy>,@id,@notation,@status,rdf:type,rdfs:label,skos:notation,skos:note
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/0>,0,stable,skos:Concept,'Cloud development not observed or not observable'@en,0,'Characteristic change of the state of sky during the past hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/1>,1,stable,skos:Concept,'Clouds generally dissolving or becoming less developed'@en,1,'Characteristic change of the state of sky during the past hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/2>,2,stable,skos:Concept,'State of sky on the whole unchanged'@en,2,'Characteristic change of the state of sky during the past hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/3>,3,stable,skos:Concept,'Clouds generally forming or developing'@en,3,'Characteristic change of the state of sky during the past hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/4>,4,stable,skos:Concept,"'Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes'@en",4,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/5>,5,stable,skos:Concept,'Haze'@en,5,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/6>,6,stable,skos:Concept,"'Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation'@en",6,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/7>,7,stable,skos:Concept,"'Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of sea stations and coastal stations, blowing spray at the station'@en",7,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/8>,8,stable,skos:Concept,"'Well-developed dust whirl(s) or sand whirl(s) seen at or near the station during the preceding hour or at the same time of observation, but no duststorm or sandstorm'@en",8,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/9>,9,stable,skos:Concept,"'Duststorm or sandstorm within sight at the time of observation, or at the station during the preceding hour'@en",9,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/10>,10,stable,skos:Concept,'Mist'@en,10,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/11>,11,stable,skos:Concept,'Patches'@en,11,"'shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea'@en"
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/12>,12,stable,skos:Concept,'More or less continuous'@en,12,"'shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea'@en"
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/13>,13,stable,skos:Concept,"'Lightning visible, no thunder heard'@en",13,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/14>,14,stable,skos:Concept,"'Precipitation within sight, not reaching the ground or the surface of the sea'@en",14,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/15>,15,stable,skos:Concept,"'Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station'@en",15,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/16>,16,stable,skos:Concept,"'Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station'@en",16,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/17>,17,stable,skos:Concept,"'Thunderstorm, but no precipitation at the time of observation'@en",17,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/18>,18,stable,skos:Concept,'Squalls'@en,18,'at or within sight of the station during the preceding hour or at the time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/19>,19,stable,skos:Concept,'Funnel cloud(s)'@en,19,'**'@en|'at or within sight of the station during the preceding hour or at the time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/20>,20,stable,skos:Concept,'Drizzle (not freezing) or snow grains'@en,20,'not falling as shower(s)'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/21>,21,stable,skos:Concept,'Rain (not freezing)'@en,21,'not falling as shower(s)'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/22>,22,stable,skos:Concept,'Snow'@en,22,'not falling as shower(s)'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/23>,23,stable,skos:Concept,'Rain and snow or ice pellets'@en,23,'not falling as shower(s)'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/24>,24,stable,skos:Concept,'Freezing drizzle or freezing rain'@en,24,'not falling as shower(s)'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/25>,25,stable,skos:Concept,'Shower(s) of rain'@en,25,'not falling as shower(s)'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/26>,26,stable,skos:Concept,"'Shower(s) of snow, or of rain and snow'@en",26,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/27>,27,stable,skos:Concept,"'Shower(s) of hail*, or of rain and hail*'@en",27,'<*>'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/28>,28,stable,skos:Concept,'Fog or ice fog'@en,28,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/29>,29,stable,skos:Concept,'Thunderstorm (with or without precipitation)'@en,29,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/30>,30,stable,skos:Concept,'Slight or moderate duststorm or sandstorm'@en,30,'has decreased during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/31>,31,stable,skos:Concept,'Slight or moderate duststorm or sandstorm'@en,31,'no appreciable change during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/32>,32,stable,skos:Concept,'Slight or moderate duststorm or sandstorm'@en,32,'has begun or has increased during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/33>,33,stable,skos:Concept,'Severe duststorm or sandstorm'@en,33,'has decreased during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/34>,34,stable,skos:Concept,'Severe duststorm or sandstorm'@en,34,'no appreciable change during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/35>,35,stable,skos:Concept,'Severe duststorm or sandstorm'@en,35,'has begun or has increased during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/36>,36,stable,skos:Concept,'Slight or moderate drifting snow'@en,36,'generally low (below eye level)'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/37>,37,stable,skos:Concept,'Heavy drifting snow'@en,37,'generally low (below eye level)'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/38>,38,stable,skos:Concept,'Slight or moderate blowing snow'@en,38,'generally high (above eye level)'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/39>,39,stable,skos:Concept,'Heavy blowing snow'@en,39,'generally high (above eye level)'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/40>,40,stable,skos:Concept,"'Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer'@en",40,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/41>,41,stable,skos:Concept,'Fog or ice fog in patches'@en,41,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/42>,42,stable,skos:Concept,"'Fog or ice fog, sky visible'@en",42,'has become thinner during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/43>,43,stable,skos:Concept,"'Fog or ice fog, sky invisible'@en",43,'has become thinner during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/44>,44,stable,skos:Concept,"'Fog or ice fog, sky visible'@en",44,'no appreciable change during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/45>,45,stable,skos:Concept,"'Fog or ice fog, sky invisible'@en",45,'no appreciable change during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/46>,46,stable,skos:Concept,"'Fog or ice fog, sky visible'@en",46,'has begun or has become thicker during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/47>,47,stable,skos:Concept,"'Fog or ice fog, sky invisible'@en",47,'has begun or has become thicker during the preceding hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/48>,48,stable,skos:Concept,"'Fog, depositing rime, sky visible'@en",48,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/49>,49,stable,skos:Concept,"'Fog, depositing rime, sky invisible'@en",49,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/50>,50,stable,skos:Concept,"'Drizzle, not freezing, intermittent'@en",50,'slight at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/51>,51,stable,skos:Concept,"'Drizzle, not freezing, continuous'@en",51,'slight at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/52>,52,stable,skos:Concept,"'Drizzle, not freezing, intermittent'@en",52,'moderate at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/53>,53,stable,skos:Concept,"'Drizzle, not freezing, continuous'@en",53,'moderate at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/54>,54,stable,skos:Concept,"'Drizzle, not freezing, intermittent'@en",54,'heavy (dense) at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/55>,55,stable,skos:Concept,"'Drizzle, not freezing, continuous'@en",55,'heavy (dense) at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/56>,56,stable,skos:Concept,"'Drizzle, freezing, slight'@en",56,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/57>,57,stable,skos:Concept,"'Drizzle, freezing, moderate or heavy (dense)'@en",57,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/58>,58,stable,skos:Concept,"'Drizzle and rain, slight'@en",58,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/59>,59,stable,skos:Concept,"'Drizzle and rain, moderate or heavy'@en",59,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/60>,60,stable,skos:Concept,"'Rain, not freezing, intermittent'@en",60,'slight at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/61>,61,stable,skos:Concept,"'Rain, not freezing, continuous'@en",61,'slight at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/62>,62,stable,skos:Concept,"'Rain, not freezing, intermittent'@en",62,'moderate at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/63>,63,stable,skos:Concept,"'Rain, not freezing, continuous'@en",63,'moderate at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/64>,64,stable,skos:Concept,"'Rain, not freezing, intermittent'@en",64,'heavy at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/65>,65,stable,skos:Concept,"'Rain, not freezing, continuous'@en",65,'heavy at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/66>,66,stable,skos:Concept,"'Rain, freezing, slight'@en",66,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/67>,67,stable,skos:Concept,"'Rain, freezing, moderate or heavy'@en",67,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/68>,68,stable,skos:Concept,"'Rain or drizzle and snow, slight'@en",68,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/69>,69,stable,skos:Concept,"'Rain or drizzle and snow, moderate or heavy'@en",69,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/70>,70,stable,skos:Concept,'Intermittent fall of snowflakes'@en,70,'slight at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/71>,71,stable,skos:Concept,'Continuous fall of snowflakes'@en,71,'slight at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/72>,72,stable,skos:Concept,'Intermittent fall of snowflakes'@en,72,'moderate at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/73>,73,stable,skos:Concept,'Continuous fall of snowflakes'@en,73,'moderate at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/74>,74,stable,skos:Concept,'Intermittent fall of snowflakes'@en,74,'heavy at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/75>,75,stable,skos:Concept,'Continuous fall of snowflakes'@en,75,'heavy at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/76>,76,stable,skos:Concept,'Diamond dust (with or without fog)'@en,76,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/77>,77,stable,skos:Concept,'Snow grains (with or without fog)'@en,77,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/78>,78,stable,skos:Concept,'Isolated star-like snow crystals (with or without fog)'@en,78,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/79>,79,stable,skos:Concept,'Ice pellets'@en,79,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/80>,80,stable,skos:Concept,"'Rain shower(s), slight'@en",80,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/81>,81,stable,skos:Concept,"'Rain shower(s), moderate or heavy'@en",81,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/82>,82,stable,skos:Concept,"'Rain shower(s), violent'@en",82,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/83>,83,stable,skos:Concept,"'Shower(s) of rain and snow mixed, slight'@en",83,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/84>,84,stable,skos:Concept,"'Shower(s) of rain and snow mixed, moderate or heavy'@en",84,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/85>,85,stable,skos:Concept,"'Snow shower(s), slight'@en",85,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/86>,86,stable,skos:Concept,"'Snow shower(s), moderate or heavy'@en",86,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/87>,87,stable,skos:Concept,"'Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed'@en",87,'slight'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/88>,88,stable,skos:Concept,"'Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed'@en",88,'moderate or heavy'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/89>,89,stable,skos:Concept,"'Shower(s) of hail, with or without rain or rain and snow mixed, not associated with thunder'@en",89,'slight'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/90>,90,stable,skos:Concept,"'Shower(s) of hail, with or without rain or rain and snow mixed, not associated with thunder'@en",90,'moderate or heavy'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/91>,91,stable,skos:Concept,'Slight rain at time of observation'@en,91,'Thunderstorm during the preceding hour but not at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/92>,92,stable,skos:Concept,'Moderate or heavy rain at time of observation'@en,92,'Thunderstorm during the preceding hour but not at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/93>,93,stable,skos:Concept,"'Slight snow, or rain and snow mixed or hail* at time of observation'@en",93,'Thunderstorm during the preceding hour but not at time of observation'@en|'<*>'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/94>,94,stable,skos:Concept,"'Moderate or heavy snow, or rain and snow mixed or hail* at time of observation'@en",94,'Thunderstorm during the preceding hour but not at time of observation'@en|'<*>'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/95>,95,stable,skos:Concept,"'Thunderstorm, slight or moderate, without hail*, but with rain and/or snow at time of observation'@en",95,'Thunderstorm at time of observation'@en|'<*>'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/96>,96,stable,skos:Concept,"'Thunderstorm, slight or moderate, with hail* at time of observation'@en",96,'Thunderstorm at time of observation'@en|'<*>'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/97>,97,stable,skos:Concept,"'Thunderstorm, heavy, without hail*, but with rain and/or snow at time of observation'@en",97,'Thunderstorm at time of observation'@en|'<*>'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/98>,98,stable,skos:Concept,'Thunderstorm combined with duststorm or sandstorm at time of observation'@en,98,'Thunderstorm at time of observation'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/99>,99,stable,skos:Concept,"'Thunderstorm, heavy, with hail* at time of observation'@en",99,'Thunderstorm at time of observation'@en|'<*>'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/100>,100,stable,skos:Concept,'No significant weather observed'@en,100,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/101>,101,stable,skos:Concept,'Clouds generally dissolving or becoming less developed during the past hour'@en,101,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/102>,102,stable,skos:Concept,'State of sky on the whole unchanged during the past hour'@en,102,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/103>,103,stable,skos:Concept,'Clouds generally forming or developing during the past hour'@en,103,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/104>,104,stable,skos:Concept,"'Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km'@en",104,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/105>,105,stable,skos:Concept,"'Haze or smoke, or dust in suspension in the air, visibility less than 1 km'@en",105,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/110>,110,stable,skos:Concept,'Mist'@en,110,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/111>,111,stable,skos:Concept,'Diamond dust'@en,111,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/112>,112,stable,skos:Concept,'Distant lightning'@en,112,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/118>,118,stable,skos:Concept,'Squalls'@en,118,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/120>,120,stable,skos:Concept,'Fog'@en,120,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/121>,121,stable,skos:Concept,'PRECIPITATION'@en,121,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/122>,122,stable,skos:Concept,'Drizzle (not freezing) or snow grains'@en,122,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/123>,123,stable,skos:Concept,'Rain (not freezing)'@en,123,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/124>,124,stable,skos:Concept,'Snow'@en,124,""
